,STATION,LATITUDE,LONGITUDE
2,US1AZNV0009,34.4727,-110.1435
5,US1AZNV0010,34.2825,-110.1266
2,US1AZNV0012,34.4969,-110.1668
6,US1AZPM0010,32.1366,-110.7679
0,US1AZPM0012,32.0255,-111.2749
4,US1AZPM0046,32.318,-111.031
6,US1AZPM0049,32.3021,-111.0752
6,US1AZPM0050,32.2536,-110.9075
6,US1AZPM0062,32.2763,-110.9904
4,US1AZPM0063,32.2861,-111.0622
5,US1AZPM0071,32.4609,-110.9572
15,US1AZPM0082,32.2261,-110.7984
2,US1AZPM0087,32.2009,-110.7691
6,US1AZPM0091,31.8906,-110.9314
5,US1AZPM0101,32.3933,-110.9819
2,US1AZPM0107,32.3427,-111.2041
6,US1AZPM0111,32.139,-110.7674
6,US1AZPM0112,32.4223,-110.9843
4,US1AZPM0119,32.2319,-110.8893
5,US1AZPM0124,32.2829,-110.9689
4,US1AZPM0132,32.2918,-110.8027
5,US1AZPM0135,32.2709,-111.0296
5,US1AZPM0141,32.4289,-110.9872
5,US1AZPM0143,32.2543,-110.7233
3,US1AZPM0145,32.2163,-110.8363
4,US1AZPM0147,32.2318,-110.9363
5,US1AZPM0160,32.3531,-111.0003
2,US1AZPM0164,32.2444,-110.8759
4,US1AZPM0181,32.3707,-111.118
4,US1AZPM0184,32.2483,-110.82
0,US1AZPM0193,32.2988,-111.077
3,US1AZPM0206,32.3585,-111.0515
0,US1AZPM0215,32.1324,-110.8829
2,US1AZPM0229,32.2625,-110.8227
0,US1AZPM0230,32.2261,-110.8444
2,US1AZPM0231,32.4892,-110.8841
0,US1AZPM0240,32.3658,-110.9678
2,US1AZPM0244,32.322,-111.0385
1,US1AZPM0245,32.2047,-110.7824
0,US1AZPM0252,32.3606,-111.1013
0,US1AZPM0261,32.2555,-110.8449
0,US1AZPM0263,32.3513,-111.0163
0,US1AZPM0273,32.3045,-111.0848
1,US1AZPN0006,33.1957,-111.5127
3,US1AZPN0008,33.3629,-111.4698
5,US1AZPN0020,33.396,-111.5807
6,US1AZPN0025,33.108,-111.5072
6,US1AZPN0029,32.5304,-110.8593
5,US1AZPN0033,32.9603,-111.7841
5,US1AZPN0035,33.3916,-111.4928
5,US1AZPN0037,32.809,-111.684
4,US1AZPN0049,32.6058,-110.7894
4,US1AZSC0001,31.6698,-110.6365
5,US1AZSC0010,31.5883,-111.0876
1,US1AZSC0013,31.437,-111.0396
2,US1AZYM0001,32.6341,-114.4056
4,US1AZYM0002,32.5676,-114.6555
1,US1AZYM0007,32.6432,-114.523
6,US1AZYV0001,34.6016,-112.3043
6,US1AZYV0005,34.2821,-112.1983
3,US1AZYV0007,35.1652,-112.5315
6,US1AZYV0018,34.7231,-112.0238
5,US1AZYV0030,34.7973,-111.9
1,US1AZYV0052,34.4349,-112.6079
1,US1AZYV0055,34.7063,-111.9185
0,US1AZYV0060,34.34,-112.164
6,US1CAAL0001,37.8123,-122.216
2,US1CAAL0003,37.7169,-122.0585
0,US1CAAL0007,37.515,-121.9523
1,US1CAAL0018,37.8575,-122.2256
0,US1CAAL0030,37.7778,-122.2032
3,US1CAAM0003,38.4986,-120.5364
2,US1CAAM0009,38.4882,-120.6313
5,US1CABT0002,39.514,-121.518
3,US1CABT0005,39.4932,-121.477
3,US1CABT0009,39.7494,-121.8614
1,US1CABT0026,39.3348,-121.6458
0,US1CABT0032,39.3946,-121.4047
7,US1CACC0001,37.9898,-122.1085
2,US1CACC0004,37.8783,-122.0338
6,US1CACC0010,37.8883,-122.1526
4,US1CACC0011,37.9744,-122.1384
1,US1CACC0016,37.9783,-122.0134
6,US1CACC0018,37.8846,-122.0285
2,US1CACC0028,37.9363,-122.3157
0,US1CACC0031,37.8911,-122.0811
2,US1CAED0011,38.757,-120.5775
2,US1CAED0017,38.7338,-120.711
0,US1CAED0020,38.8817,-120.0339
1,US1CAED0021,38.6954,-121.0745
1,US1CAED0023,38.698,-121.0869
6,US1CAFR0005,36.9342,-119.3586
3,US1CAFR0013,36.833,-119.6808
3,US1CAFR0014,36.8053,-119.8222
7,US1CAHM0004,40.9231,-124.084
7,US1CAHM0009,40.9778,-124.086
1,US1CAHM0022,40.9392,-123.6236
6,US1CAHM0026,40.4734,-123.7013
5,US1CAHM0035,40.7642,-124.1476
4,US1CAHM0038,40.7659,-123.9985
1,US1CAHM0046,41.0614,-124.124
2,US1CAHM0047,40.6578,-123.9245
0,US1CAHM0052,40.7109,-123.9758
4,US1CAIN0002,37.3227,-118.5404
0,US1CAIN0009,37.1688,-118.2878
0,US1CAIN0010,37.3844,-118.4228
3,US1CAKG0001,36.2932,-119.7718
7,US1CAKN0001,35.6345,-117.9782
5,US1CAKN0013,35.7022,-118.1739
0,US1CAKN0022,35.3311,-119.1078
0,US1CAKN0026,35.4088,-118.5071
7,US1CALA0001,34.1689,-118.2947
5,US1CALA0003,33.7902,-118.3369
1,US1CALA0008,34.0786,-118.687
6,US1CALA0009,34.1543,-118.42
6,US1CALA0010,33.9862,-118.0664
6,US1CALA0011,33.8192,-118.3771
6,US1CALA0014,34.4268,-118.4275
2,US1CALA0023,34.0232,-117.7965
2,US1CALA0031,34.7184,-118.0659
4,US1CALA0036,34.1392,-118.1161
2,US1CALA0044,33.834,-118.3281
1,US1CALA0049,33.986,-118.409
3,US1CALK0009,39.1682,-122.9778
3,US1CALS0002,40.363,-120.674
3,US1CAMA0001,37.4415,-119.6316
3,US1CAMA0003,37.1241,-119.761
0,US1CAMA0007,37.247,-119.6855
0,US1CAMA0008,37.116,-120.252
5,US1CAMD0001,39.2206,-123.3312
2,US1CAMD0017,39.6724,-123.4898
0,US1CAMN0001,38.0337,-119.1697
3,US1CAMP0002,37.4613,-119.7417
1,US1CAMR0002,38.005,-122.6354
4,US1CAMR0009,38.2475,-122.8119
2,US1CAMR0018,37.981,-122.5907
1,US1CAMR0025,38.0096,-122.5801
1,US1CAMR0037,38.1104,-122.6
4,US1CAMT0003,35.9808,-121.1174
5,US1CAMT0005,36.0249,-121.1745
6,US1CAMT0006,36.7764,-121.7284
0,US1CAMT0041,36.6732,-121.7836
0,US1CAMT0042,36.3539,-121.5766
3,US1CANV0001,39.3067,-121.0399
5,US1CANV0014,39.0322,-121.0774
0,US1CANV0016,39.1198,-121.0599
3,US1CANV0035,39.2382,-121.0463
1,US1CANV0041,39.2384,-121.0058
5,US1CAOR0001,33.8291,-117.77
5,US1CAOR0006,33.7455,-117.6199
2,US1CAOR0016,33.5894,-117.8652
5,US1CAOR0019,33.5954,-117.6442
6,US1CAOR0021,33.8632,-117.7918
4,US1CAOR0029,33.847,-117.7871
2,US1CAOR0031,33.8261,-117.7781
2,US1CAOR0035,33.6645,-117.6264
1,US1CAOR0039,33.8521,-117.7469
0,US1CAOR0049,33.6654,-117.5891
6,US1CAPC0001,39.3021,-120.3837
3,US1CAPC0021,38.7399,-121.2575
1,US1CAPC0024,38.9962,-120.986
0,US1CAPC0035,38.8088,-121.286
6,US1CARV0002,33.7631,-116.735
7,US1CARV0005,33.7527,-116.9196
7,US1CARV0008,33.7307,-117.4276
3,US1CARV0015,33.908,-117.548
5,US1CARV0017,33.8262,-117.365
5,US1CARV0020,33.9059,-117.5178
1,US1CARV0034,33.8209,-117.4051
1,US1CARV0036,34.0158,-117.4498
0,US1CARV0037,33.9689,-117.3883
0,US1CARV0043,33.6081,-117.1878
4,US1CASA0002,38.635,-121.3611
6,US1CASA0005,38.6429,-121.3059
7,US1CASA0007,38.66,-121.1395
5,US1CASA0030,38.5753,-121.34
0,US1CASA0045,38.6619,-121.3002
6,US1CASB0001,34.4397,-119.8961
0,US1CASB0011,34.4526,-119.7995
3,US1CASC0001,37.3848,-122.0752
7,US1CASC0003,37.3647,-122.0042
7,US1CASC0011,37.2341,-121.8974
6,US1CASC0015,37.2748,-122.0227
5,US1CASC0040,37.156,-121.9875
1,US1CASC0057,37.1725,-121.703
7,US1CASD0001,33.1472,-117.1316
7,US1CASD0003,32.5738,-117.0625
7,US1CASD0004,33.27,-117.2663
7,US1CASD0006,32.8112,-116.9254
7,US1CASD0009,32.7907,-116.987
6,US1CASD0011,33.0757,-117.292
6,US1CASD0012,32.9956,-117.0044
5,US1CASD0015,32.8254,-117.2397
6,US1CASD0019,33.2539,-117.3127
7,US1CASD0023,33.0267,-117.2712
4,US1CASD0024,32.6168,-117.0519
6,US1CASD0025,33.2905,-116.9568
3,US1CASD0027,32.7465,-117.1098
1,US1CASD0029,32.8057,-117.0732
6,US1CASD0030,32.8257,-117.2501
5,US1CASD0035,33.0184,-117.0666
4,US1CASD0040,32.7698,-116.9593
5,US1CASD0047,32.6044,-117.0508
5,US1CASD0049,32.8168,-117.0586
2,US1CASD0052,33.0261,-117.0466
6,US1CASD0053,33.0158,-116.8068
5,US1CASD0054,32.8538,-116.6212
1,US1CASD0055,32.7348,-117.2447
4,US1CASD0061,32.7724,-116.9197
4,US1CASD0063,33.0563,-116.9925
3,US1CASD0074,33.0139,-117.1062
3,US1CASD0076,33.2499,-117.2559
2,US1CASD0086,33.1658,-117.3307
2,US1CASD0090,32.7698,-116.9788
2,US1CASD0097,33.0794,-117.2419
1,US1CASD0099,32.7797,-116.9103
1,US1CASD0101,33.3108,-117.0409
1,US1CASD0104,32.8651,-116.6175
1,US1CASD0105,32.6447,-116.3478
1,US1CASD0110,32.7597,-117.0281
0,US1CASD0114,33.0361,-117.0457
0,US1CASD0115,32.7502,-117.2456
0,US1CASD0120,32.8257,-117.1993
2,US1CASF0008,37.7776,-122.4741
5,US1CASH0010,40.6721,-122.2913
3,US1CASH0051,40.5181,-122.3692
7,US1CASJ0001,38.0627,-121.0079
6,US1CASJ0004,38.0381,-121.2547
6,US1CASJ0005,38.136,-121.3044
6,US1CASJ0006,37.9417,-121.2585
4,US1CASK0009,41.2688,-123.3336
2,US1CASK0010,41.9633,-121.923
5,US1CASL0001,35.3805,-120.4525
1,US1CASL0008,35.3295,-120.8324
6,US1CASM0001,37.6121,-122.4825
7,US1CASM0006,37.5488,-122.2587
1,US1CASM0016,37.4777,-122.4454
5,US1CASM0022,37.3754,-122.2637
6,US1CASN0016,38.3753,-122.9035
4,US1CASN0023,38.5317,-122.78
5,US1CASN0028,38.4789,-122.744
2,US1CASN0029,38.781,-122.963
1,US1CASN0061,38.464,-122.715
6,US1CASN0063,38.5534,-122.7929
1,US1CASN0074,38.6476,-122.9207
6,US1CASN0080,38.3778,-122.5343
4,US1CASN0089,38.7839,-122.9628
0,US1CASN0098,38.5319,-123.1886
0,US1CASN0112,38.4699,-122.7333
0,US1CASO0007,38.2215,-122.143
0,US1CASR0010,34.1377,-117.5512
6,US1CASR0014,34.0973,-116.3178
5,US1CASR0020,34.2828,-116.3751
5,US1CASR0029,34.1442,-117.381
3,US1CASR0034,34.1223,-117.5977
3,US1CASR0036,34.2712,-116.9383
1,US1CASR0046,34.1269,-116.3175
0,US1CASR0052,34.4067,-116.9486
0,US1CASR0053,34.1443,-117.6491
0,US1CASR0055,34.195,-117.3502
2,US1CASS0001,37.7892,-120.7518
3,US1CAST0002,36.8393,-121.5375
6,US1CAST0004,36.9306,-121.3704
6,US1CAST0005,36.8422,-121.365
5,US1CASZ0006,37.1811,-122.0911
3,US1CASZ0021,37.1693,-122.1641
1,US1CASZ0028,37.0022,-121.9363
1,US1CASZ0036,37.1953,-122.1406
0,US1CASZ0041,37.0556,-122.0334
1,US1CATH0009,40.1576,-122.2362
3,US1CATH0011,40.2417,-122.2806
3,US1CATH0019,40.2145,-122.2429
1,US1CATH0037,40.1611,-122.3461
2,US1CATH0040,40.021,-122.1901
2,US1CATL0011,36.4584,-118.8858
4,US1CAVT0001,34.1772,-118.8984
3,US1CAVT0002,34.746,-119.1103
1,US1CAVT0016,34.2311,-119.0299
3,US1CAYB0001,39.4518,-121.2801
1,US1CAYB0003,39.2241,-121.594
3,US1CAYL0001,38.5425,-121.721
7,US1CAYL0002,38.5618,-121.7241
2,US1CAYL0009,38.5523,-121.7855
0,US1CAYL0019,38.5592,-121.7162
1,US1CAYL0021,38.5613,-121.8522
4,US1CHARM053,34.6444,-86.5056
8,US1COAD0082,39.8782,-105.0364
7,US1COAD0087,39.9752,-104.7909
6,US1COAD0094,39.8261,-105.0414
7,US1COAD0100,39.9223,-104.9554
1,US1COAD0127,39.7517,-104.8543
0,US1COAD0189,39.9875,-104.6539
0,US1COAD0216,39.9674,-104.8936
1,US1COAM0032,37.6337,-105.548
11,US1COAR0043,39.6025,-104.9762
7,US1COAR0072,39.6763,-104.4056
10,US1COAR0085,39.5845,-104.764
3,US1COAR0099,39.6693,-104.822
3,US1COAR0179,39.6256,-104.7137
4,US1COAR0214,39.5753,-104.9746
0,US1COAR0266,39.647,-104.7624
2,US1COAR0270,39.6947,-104.8239
2,US1COAR0273,39.6526,-104.8237
1,US1COAR0286,39.6124,-105.0331
1,US1COAR0288,39.5662,-104.7317
0,US1COAR0314,39.6059,-104.6111
3,US1COBA0009,37.1782,-102.4708
1,US1COBA0027,37.222,-102.0573
0,US1COBN0008,38.1408,-103.1058
13,US1COBO0004,39.9941,-105.2573
10,US1COBO0008,39.9925,-105.1057
1,US1COBO0009,40.0311,-105.2883
14,US1COBO0014,39.9922,-105.2647
5,US1COBO0022,40.1869,-105.5002
14,US1COBO0030,39.9915,-105.2403
12,US1COBO0042,39.9707,-105.2505
6,US1COBO0057,39.9714,-105.3968
13,US1COBO0072,40.0242,-105.2689
14,US1COBO0143,40.2001,-105.1087
14,US1COBO0146,40.2263,-105.2667
5,US1COBO0149,40.1945,-105.0905
11,US1COBO0165,40.0124,-105.2307
10,US1COBO0202,40.1103,-105.4391
7,US1COBO0222,40.0172,-105.1353
8,US1COBO0248,40.102,-105.1987
5,US1COBO0286,39.977,-105.2576
5,US1COBO0288,40.0326,-105.2463
2,US1COBO0298,39.9908,-105.2557
0,US1COBO0338,40.1043,-105.1605
2,US1COBO0352,40.1848,-105.082
6,US1COBR0013,39.939,-105.0826
5,US1COCC0002,39.6391,-105.4128
1,US1COCR0011,38.1902,-104.023
0,US1COCR0012,38.2207,-103.733
6,US1COCS0012,37.085,-105.4963
0,US1COCS0019,37.4353,-105.5123
2,US1COCU0028,38.1195,-105.5777
11,US1CODG0032,39.5531,-104.8954
4,US1CODG0062,39.3475,-104.8649
8,US1CODG0074,39.5404,-104.9123
7,US1CODG0091,39.485,-104.9089
5,US1CODG0145,39.3911,-104.9038
5,US1CODG0149,39.4506,-104.7038
1,US1CODG0167,39.3315,-104.9611
2,US1CODG0196,39.504,-104.7253
1,US1CODG0205,39.3726,-104.9202
2,US1CODG0226,39.4573,-104.7427
1,US1CODG0228,39.3818,-104.9487
6,US1CODL0022,38.8394,-107.7985
2,US1CODL0023,38.8319,-107.967
3,US1CODL0025,38.8421,-107.5748
2,US1CODL0026,38.8578,-107.8283
0,US1CODL0043,38.8617,-107.6546
0,US1CODL0045,39.0392,-108.003
10,US1CODN0016,39.6656,-104.9657
6,US1CODN0025,39.7264,-104.9489
4,US1CODN0049,39.72,-104.9175
8,US1CODN0074,39.7603,-105.0499
3,US1CODN0109,39.6679,-104.944
1,US1CODN0175,39.7282,-104.9544
11,US1CODR0003,37.6009,-108.9951
8,US1COEG0006,39.3793,-106.9249
2,US1COEG0037,39.4034,-107.1066
5,US1COEL0010,39.5482,-104.1273
9,US1COEL0046,39.4109,-104.2391
6,US1COEP0007,39.0804,-104.2931
12,US1COEP0012,39.0988,-104.7629
9,US1COEP0037,38.9052,-104.8491
11,US1COEP0055,39.1125,-104.859
0,US1COEP0058,38.7989,-104.8386
6,US1COEP0068,38.872,-104.7262
7,US1COEP0158,38.8161,-104.8645
3,US1COEP0189,38.9384,-104.8426
3,US1COEP0192,39.0267,-104.7478
4,US1COEP0194,38.8437,-104.8052
1,US1COEP0202,38.6911,-104.6817
1,US1COEP0226,38.8618,-104.8143
4,US1COEP0234,38.9438,-104.7816
2,US1COEP0291,38.7425,-104.7251
0,US1COEP0333,38.8504,-104.7307
1,US1COEP0337,38.7748,-104.8328
0,US1COEP0348,39.0939,-104.65
0,US1COEP0354,38.9534,-104.3117
0,US1COEP0356,38.91,-104.7267
2,US1COFM0001,38.4213,-105.0002
11,US1COFM0009,38.4298,-105.2314
0,US1COFM0011,38.4777,-105.2363
4,US1COFM0014,38.3137,-105.6306
11,US1COFM0021,38.3086,-105.6417
6,US1COFM0034,38.4523,-105.1967
9,US1COFM0050,38.4622,-105.0277
8,US1COGF0002,39.5502,-107.768
8,US1COGF0047,39.3978,-107.2227
4,US1COGF0049,39.4582,-107.1839
0,US1COGL0020,39.9034,-105.4628
10,US1COGN0018,38.9603,-106.9908
5,US1COGN0039,38.4843,-106.6742
6,US1COGN0040,38.6391,-106.9408
6,US1COGN0050,39.0791,-107.1906
